A,airportZone,
HSV,Academia,University of Alabama in Huntsville
HSV,Aerospace,
HSV,Defense,
HTN,Sunni|,
HTS,Gemstones,
HTY,Mediterranean Black Sea,
HUI,Agriculture,
HUI,Surfing,
HUX,Surfing,
HUY,Wind Energy,
HVN,|US|Stateside Puerto Ricans,
HVN,Academia,Yale University
HVR,Zinc-lead,Zortman-Landusky
HYD,|CA|Telugu,
HYD,Pharma,
HYD,Shia|,
HYD,Software,
HYN,Rice,
IAD,|US|Ethiopian,
IAD,|US|Guatemalan,
IAD,|US|Indian,
IAD,|US|Jewish,
IAD,|US|Korean,
IAD,Bureaucracy,
IAD,Defense,
IAD,NA Capitols|,
IAD,Software,
IAH,|US|Chinese,
IAH,|US|Indian,
IAH,|US|Nigerian,
IAH,|US|Pakistani,
IAH,|US|Vietnamese,
IAH,LNG,
IAH,Oil,
IAH,Petrochemicals,
IAH,Software,
IAS,Steel,
IAS,Viticulture,
ICN,|JP|Korean,
ICN,|US|Korean,
ICN,Automotive,
ICN,Banking,
ICN,Electronics,
ICN,Semiconductors,
ICT,|US|Jalisco & Michoacán,
ICT,Aerospace,
ICT,Heavy industry,
IDA,Gemstones,
IEV,Grain Belt,
IFJ,Geothermal,
IFN,|DE|Iranian,
IFN,|TR|Iranian,
IFN,|US|Iranian,
IFN,Steel,
IGS,Automotive,
IGU,|BR|Nikkei,
IGU,UFOs,
IKA,|DE|Iranian,
IKA,|TR|Iranian,
IKA,|US|Iranian,
IKA,Automotive,
IKA,Oil,
IKT,Forestry,Irkutsk
IKT,Gold,Irkutsk (Bodaibo) Russia
ILG,US Finance,
ILM,Forestry,Wilmington
ILO,Rice,
ILR,|US|Nigerian,
ILY,Atlantic Fishing,Islay
IMP,Sugar,
IMT,Maple Syrup,
INC,Sunni|,
IND,|US|Jalisco & Michoacán,
IND,Academia,Indiana University Bloomington
IND,Industrial automation,
IND,Logistics NAC,
IND,Pharma,
INN,Loves Tiroler Unterlan x2|,
INV,Defense,
INV,Whiskey,
INW,UFOs,
IPN,Heavy industry,
IPT,Oil Fracking,Marcellus Shale
IQM,Gold,Qiemo (various mines) Xinjiang
IQQ,Copper,Iquique Chile
IQQ,Zinc-lead,
IQT,Amazonia,
ISA,Copper,Mount Isa
ISA,Zinc-lead,
ISB,|US|Pakistani,
ISP,|US|Salvadoran,
IST,|DK|Turkish,
IST,|NL|Turkish,
IST,|TR|Afghan,
IST,|TR|Iranian,
IST,|TR|Iraqi,
IST,Banking,
IST,CPG & Retail,
IST,Logistics APAC,
IST,Logistics CIS,
ISU,|SE|Iraqi,
ISU,|TR|Iraqi,
ISU,Shia|,
ITH,Academia,
ITH,Dairy,
ITM,|JP|Korean,
ITM,|JP|Korean,
ITM,|JP|Vietnamese,
ITM,Electronics,
ITM,Industrial automation,
ITO,PIF|,
IWD,Maple Syrup,
IWK,Petrochemicals,
IXA,Paper & Furniture,Agartala
IXB,Tea,
IXC,|CA|Punjabi,
IXC,Software,
IXE,|AE|Kannada,
IXE,|OM|Kannada,
IXG,Agriculture,
IXM,|AE|Tamil,
IXM,|ID|Tamil,
IXM,|MY|Tamil,
IXM,Healthcare,
IXR,Paper & Furniture,Ranchi
IXR,Rice,
IXR,Textiles,
IXS,Sunni|,
IXS,Tea,
IXU,|SG|Marathi,
IXU,Gemstones,
IXU,Sugar,
IZO,Agriculture,
IZO,Seafood,
JAI,Gemstones,
JAN,Heavy industry,
JAU,Copper,
JAV,Arctic Fishing,
JAX,Defense,
JAX,Logistics NAC,
JAX,US Finance,
JBQ,Sugar,
JBR,Rice,
JED,|SA|Bangladeshi,
JED,|SA|Malayali,
JED,|SA|Pakistani,
JED,Logistics MEA,
JFK,|US|Jewish,
JFK,|US|Ukrainian,
JFK,Banking,
JFK,Cantonese|,
JFK,CC|,
JFK,Entertainment,
JFK,High finance,
JFK,Hispanic|,
JFK,Software,
JGA,Oil Refining,
JGD,Gemstones,
JGD,Gold,Jiagedaqi (various mines) Heilongjiang
JGS,Rice,
JHB,|MY|Malayali,
JHB,Electronics,
JHB,Logistics APAC,
JIB,Logistics MEA,
JIU,Horticulture,
JJN,Footwear,
JLR,Sugar,
JNB,|ZA|Ethiopian,
JNB,Agriculture,
JNB,Copper,
JNB,Gold,
JNB,Logistics MEA,
JNB,Platinum,
JNB,Rare earths,
JNB,Uranium,
JNU,Arctic Fishing,
JNZ,Horticulture,
JNZ,Textiles,Jinzhou
JOG,Spices / Tropical Ag,
JOI,Automotive,
JRA,Banking,
JRA,Banking,
JRA,High finance,
JRB,Banking,
JRB,Banking,
JRB,High finance,
JRG,Aluminum,
JRO,Coffee,
JRO,Nordic / Lutheran|,
JRO,Ranching,
JRT,Amazonia,
JSR,Rice,
JTC,Sugar,
JWA,Diamonds,
JXA,Gemstones,
JZH,Aluminum,
KBL,|DE|Afghan,
KBL,|PK|Afghan,
KBL,|TR|Afghan,
KBL,Drug trafficking,
KBL,Pashto|,
KBP,Grain Belt,
KCH,Forestry,
KCH,Oil Refining,
KCT,Surfing,Weligama Sri Lanka
KCZ,Forestry,Kochi
KCZ,Rice,
KCZ,Seafood,
KDH,Drug trafficking,
KDH,Pashto|,
KEF,Atlantic Fishing,
KEF,Geothermal,
KER,Copper,
KGD,Defense RU,
KGF,Zinc-lead,
KGI,Gold,Kalgoorlie-Boulder (Super Pit) Western Australia
KGI,Nickel,
KGI,Rare earths,
KGL,Gold,Kigali
KHG,Sunni|,
KHG,Zinc-lead,
KHH,HK Taiwan Kinship|,
KHH,Logistics APAC,
KHH,Paper & Furniture,Kaohsiung
KHH,Seafood,
KHI,|AE|Pakistani,
KHI,|PK|Afghan,
KHI,|SA|Pakistani,
KHI,|UK|Pakistani,
KHI,|US|Pakistani,
KHI,Banking,
KHI,Textiles,
KHN,Cotton,
KHN,Footwear,
KHN,Uranium,
KHS,Oil,
KHV,Aerospace,
KHV,Arctic Fishing,
KHV,Forestry,Khabarovsk
KHV,Heavy industry,
KHV,Russian Vacay Destination x2|,
KIN,Drug trafficking,
KIN,Sugar,
KIR,Atlantic Fishing,Kerry
KIT,Copper,Kitwe Zambia
KIX,|BR|Nikkei,
KIX,|JP|Korean,
KIX,|JP|Vietnamese,
KIX,|MP|Nikkei,
KIX,|PE|Nikkei,
KIX,|US|Nikkei,
KIX,Banking,
KIX,Electronics,
KIX,Semiconductors,
KIX,Whiskey,
KJA,Aerospace,
KJA,Aluminum,
KJA,Forestry,Krasnoyarsk
KJA,Gold,Krasnoyarsk (various mines) Russia
KJA,Russian Vacay Destination x2|,
KJT,Tea,
KKJ,Steel,Kitakyushu
KME,|US|Salvadoran,
KMG,|AU|Chinese,
KMG,|CA|Chinese,
KMG,|ID|Chinese,
KMG,|TH|Chinese,
KMG,|US|Chinese,
KMG,Chinese Tourism|,
KMG,Copper,
KMG,Heavy industry,
KMG,Horticulture,
KMG,Rare earths,Kunming
KMI,Agribusiness,
KMQ,Electronics,
KNO,Coffee,
KNO,Logistics APAC,
KNO,Spices / Tropical Ag,
KOA,Horticulture,
KOA,PIF|,
KOA,Surfing,
KOJ,Aerospace,
KOJ,Agriculture,
KOJ,Geothermal,
KOS,Indian Ocean Fishing,
KPO,Steel,
KRK,|IE|Polish,
KRK,|US|Polish,
KRK,Software,
KRK,Steel,
KRL,Oil,
KRR,|RU|Armenian,
KRR,Grain Belt,
KRT,Oil,
KRT,Oil Refining,
KRW,LNG,
KRW,Offshore Oil,
KSH,Cotton,
KTA,LNG,
KTN,Arctic Fishing,
KTW,Automotive,
KTW,Heavy industry,
KUA,Petrochemicals,
KUF,Aerospace,
KUF,Russian Vacay Destination x2|,
KUL,|MY|Malayali,
KUL,|MY|Tamil,
KUL,Appliances,
KUL,Banking,
KUL,Cantonese|,
KUL,Logistics APAC,
KVA,Loves Kavala x2|,
KVA,Mediterranean Black Sea,
KWE,Chinese Tourism|,
KWE,CPG & Retail,
KWE,Logistics APAC,
KWI,Banking,
KWI,Oil,
KWI,Oil Refining,
KWL,Logistics APAC,
KWL,Rice,
KWL,Sugar,
KWZ,Copper,Kolwezi DRC
KXB,Nickel,
KZN,Aluminum,
KZN,Russian Vacay Destination x2|,
KZO,Oil Refining,
KZO,Uranium,Kyzylorda Kazakhstan
KZO,Uranium,
LAD,Logistics MEA,
LAD,Offshore Oil,
LAN,Academia,Michigan State University
LAS,Casinos,
LAS,Hispanic|,
LAS,UFOs,Area 51
LAU,Logistics MEA,
LAX,|US|Chinese,
LAX,|US|Filipino,
LAX,|US|Iranian,
LAX,|US|Korean,
LAX,|US|Vietnamese,
LAX,Banking,
LAX,Drug trafficking,
LAX,Entertainment,
LAX,Hispanic|,
LAX,SoCal NoCal,
LBA,|GB|Indian,
LBA,|UK|Pakistani,
LBA,Oil Fracking,Weald Basin 
LBB,Ranching,
LBB,Wind Energy,
LBC,Logistics EU Med,
LBC,Loves Arctic|,
LBC,Nordic / Lutheran|,
LBL,Ranching,
LBS,Agriculture,
LCA,Banking,
LCA,EU|,
LCA,Greek|,
LCA,Russian Vacay Destination x2|,
LCH,Petrochemicals,
LCJ,Appliances,
LCK,|US|Somali,
LCX,Copper,Longyan
LCY,|UK|Jewish,
LCY,Academia,Imperial College London
LCY,Banking,
LCY,Diamonds,
LCY,High finance,
LEA,Gemstones,
LEA,Gold,Laverton (Telfer Mine) Western Australia
LED,|RU|Armenian,
LED,Defense RU,
LED,Heavy industry,
LED,Logistics CIS,
LED,Russian Vacay Destination x2|,
LEJ,Automotive,
LEJ,LNG,
LEJ,Logistics EU Med,
LEJ,Loves Arctic|,
LEJ,Loves Bolzano x2|,
LER,Gold,Leinster (various mines) Western Australia
LER,Rare earths,
LEX,Academia,University of Kentucky
LEX,Whiskey,
LFT,LNG,
LGA,|US|Indian,
LGA,|US|Jewish,
LGA,|US|Korean,
LGA,|US|Polish,
LGA,|US|Stateside Puerto Ricans,
LGA,Academia,
LGA,Banking,
LGA,CPG & Retail,
LGA,Software,
LGA,US Finance,
LGB,|US|Nikkei,
LGB,|US|Salvadoran,
LGB,|US|Samoan,
LGB,Defense,
LGB,Global Logistics,
LGB,Logistics NAC,
LGB,SoCal NoCal,
LGB,Toys,
LGK,|MY|Tamil,
LGW,|GB|Indian,
LGW,|UK|Nigerian,
LGW,|UK|Polish,
LGW,Banking,
LHE,|AE|Pakistani,
LHE,|SA|Pakistani,
LHE,|UK|Pakistani,
LHE,|US|Pakistani,
LHE,Dairy,
LHE,Footwear,
LHR,|GB|Indian,
LHR,|UK|Nigerian,
LHR,|UK|Pakistani,
LHR,Academia,Oxbridge
LHR,Bengali|,
LHR,Bureaucracy,
LHR,High finance,
LHR,Software,
LHW,Heavy industry,
LHW,Petrochemicals,
LIH,PIF|,
LIM,|PE|Nikkei,
LIM,|PE|Venezuelan,
LIM,Colonial ties bind,
LIM,Copper,Lima Peru
LIM,Seafood,
LIM,Zinc-lead,
LIN,|IT|Romanian,
LIN,CPG & Retail,
LIN,Heavy industry,
LIO,Horticulture,
LIS,Logistics EU Med,
LIS,Marine,
LIS,Mediterranean Ag,
LJU,Pharma,
LKO,Rice,Narendra Deva University of Agriculture and Technology
LKO,Shia|,
LLA,Steel,
LLF,Rare earths,Lingling
LLW,Agriculture,
LNK,Academia,University of Nebraska
LNK,Oil Fracking,
LNL,Gold,Lianshanguan (various mines) Heilongjiang
LNY,PIF|,
LNZ,Healthcare,
LOP,Gemstones,
LOS,|UK|Nigerian,
LOS,|US|Nigerian,
LOS,Entertainment,
LOS,Logistics MEA,
LOS,Oil,
LPA,Atlantic Fishing,
LPB,|AR|Bolivian,
LPB,|BR|Bolivian,
LPL,|GB|Indian,
LPL,Marine,
LPL,Wind Energy,
LPQ,Drug trafficking,
LPT,Sugar,
LRD,Hispanic|,
LRD,Oil Fracking,
LRM,Sugar,
LSC,Viticulture,Elqui Valley
LTN,|GB|Indian,
LTN,|UK|Jewish,
LTN,Life sciences,
LUG,Italian|,
LUN,Agriculture,
LUN,Anglophone|,
LUN,Copper,Lusaka Zambia
LUX,High finance,
LUX,Logistics EU Med,
LUX,Steel,ArcelorMittal
LVO,Gold,Leonora (Sunrise Dam) Western Australia
LW0,Banking,
LW0,High finance,
LWK,Offshore Oil,
LYA,Paper & Furniture,
LYG,Steel,
LYP,Cotton,
LYR,Academia,
LYR,Loves Arctic|,
LYS,|FR|Algerian x2,
LYS,|FR|Armenian,
LYS,|FR|Serbian,
LYS,CPG & Retail,
LYS,Pharma,
LYS,Software,
MAA,|AE|Tamil,
MAA,|ID|Tamil,
MAA,|MY|Tamil,
MAA,Automotive,
MAA,Footwear,
MAA,Healthcare,
MAD,|ES|Ecuadorian,
MAD,|ES|Peruvian,
MAD,Colonial ties bind,
MAD,Logistics EU Med,
MAD,Telco,
MAF,|US|Durango & Zacatecas,
MAF,Cotton,
MAF,Oil Fracking,Midland USA
MAK,Oil,
MAN,|GB|Indian,
MAN,|UK|Pakistani,
MAN,|UK|Polish,
MAN,Bengali|,
MAN,Heavy industry,
MAN,Pharma,
MAO,Amazonia,
MAO,Appliances,
MAO,Drug trafficking,
MAO,Forestry,
MAO,Horticulture,
MAO,Petrochemicals,
MAR,|CL|Venezuelan,
MAR,|PE|Venezuelan,
MAR,|US|Venezuelan,
MAR,Agriculture,
MAR,Oil Refining,
MB1,Academia,
MBA,Logistics MEA,
MBA,Oil,
MCI,|US|Jalisco & Michoacán,
MCI,Agribusiness,
MCI,Bureaucracy,
MCI,Grain Belt,
MCI,Telco,
MCO,|US|Brazilian,
MCO,|US|Stateside Puerto Ricans,
MCO,Defense,
MCO,Golf,
MCO,Loves DR x2|,
MCP,Amazonia,
MCP,Paper & Furniture,
MCT,|OM|Malayali,
MCT,Oil,
MCZ,Sugar,
MDC,Nickel,
MDE,|CL|Colombian,
MDE,|MX|Colombian,
MDE,|US|Colombian,
MDE,Andean connect,
MDE,Drug trafficking,
MDE,Horticulture,
MDE,Logistics LATAM,
MDQ,Seafood,
MDT,Healthcare,
MDW,|US|Italian,
MDW,|US|Polish,
MDW,|US|Stateside Puerto Ricans,
MDW,Academia,University of Chicago
MDW,CPG & Retail,
MDW,Loves DR x2|,
MDY,Rice,
MDZ,Loves Florianopolis x2|,
MDZ,Oil Fracking,
MDZ,Viticulture,Mendoza
MEA,Offshore Oil,
MEL,|AU|Chinese,
MEL,|AU|Greek,
MEL,|AU|Italian,
MEL,|AU|Vietnamese,
MEL,Banking,
MEL,Copper,Melbourne
MEL,Footie Traffic x2,
MEL,Logistics APAC,
MEL,Pharma,
MEL,Wind Energy,
MEM,Agribusiness,
MEM,Global Logistics,
MEM,Logistics NAC,
MEX,|ES|Peruvian,
MEX,|MX|Bolivian,
MEX,|MX|Colombian,
MEX,Bureaucracy,
MEX,Logistics NAC,
MEX,NA Capitols|,
MFE,Hispanic|,
MFM,Cantonese|,
MFM,Casinos,
MFR,|US|Jalisco & Michoacán,
MFR,Forestry,
MFR,Horticulture,
MGA,Ranching,
MGQ,|NO|Somali,
MGQ,|US|Somali,
MGZ,Gemstones,
MHG,Wind Energy,
MHT,|US|Irish American,
MIA,|CU|Cuban x2,
MIA,|US|Jewish,
MIA,|US|Venezuelan,
MIA,CC|,
MIA,Drug trafficking,
MIA,Entertainment,
MIA,Hispanic|,
MIA,Lusophone|,
MID,Drug trafficking,
MIM,Pacific Fishing,
MIR,Mediterranean Black Sea,
MIR,Spices / Tropical Ag,
MJY,Aluminum,Boguchany BGS
MJZ,Diamonds,
MJZ,Gemstones,
MKE,Dairy,
MKE,Healthcare,
MKE,Industrial automation,
MKE,Nordic / Lutheran|,
MKE,US Finance,
MKY,Sugar,
MLB,Aerospace,
MLE,Indian Ocean Fishing,
MLH,Pharma,
MLI,Grain Belt,
MLM,|US|Jalisco & Michoacán,
MLX,Copper,
MMK,Defense RU,
MMK,Logistics CIS,
MNL,|IE|Filipino,
MNL,|IT|Filipino,
MNL,|US|Filipino,
MNL,Appliances,
MNL,Logistics APAC,
MNL,Marine,
MNL,Rice,
MNX,Amazonia,
MOB,Heavy industry,
MOB,Marine,
MOC,Dairy,
MOT,Oil Fracking,
MPL,|FR|Algerian x2,
MPL,Dairy,
MPL,Life sciences,
MPL,Viticulture,Montpellier
MPM,Aluminum,
MPM,Logistics MEA,
MPM,Lusophone|,
MQL,Viticulture,Mildura Australia
MQT,Paper & Furniture,
MQT,Platinum,Marquette
MRS,|FR|Algerian x2,
MRS,|FR|Moroccan,
MRS,|FR|Tunisian x2,
MRS,Healthcare,
MRS,Logistics EU Med,
MRU,Textiles,
MRV,Russian Vacay Destination x2|,
MRY,Surfing,
MSJ,Arctic Fishing,
MSJ,Defense,
MSN,Academia,University of Wisconsin
MSN,Dairy,
MSN,Healthcare,Epic Systems
MSP,|US|Hmong,
MSP,|US|Somali,
MSP,Academia,University of Minnesota
MSP,Agribusiness,
MSP,CPG & Retail,
MSP,Dairy,
MSP,Nordic / Lutheran|,
MSQ,Heavy industry,
MSQ,Logistics CIS,
MSS,Maple Syrup,
MSY,LNG,
MSY,Petrochemicals,
MSY,Seafood,
MTT,Offshore Oil,
MTY,|MX|Bolivian,
MTY,Automotive,
MTY,Electronics,
MTY,Logistics NAC,
MUC,|DE|Serbian,
MUC,|DE|Turkish,
MUC,Aerospace,
MUC,Automotive,
MUC,Dairy,
MUC,Industrial automation,
MUC,Semiconductors,
MUX,Cotton,
MVD,Agriculture,
MVD,Logistics LATAM,
MVD,Ranching,
MVP,Drug trafficking,
MVY,Wind Energy,
MWX,Oil Refining,
MWX,Steel,
MWZ,Nordic / Lutheran|,
MXB,Nickel,
MXL,Geothermal,
MXP,|AU|Italian,
MXP,|BR|Italian,
MXP,|IT|Filipino,
MXP,|US|Italian,
MXP,CPG & Retail,
MXP,Textiles,
MXX,Logistics EU Med,
MXX,Paper & Furniture,Ikea
MXZ,Rare earths,Meixian
MYR,Golf,
MYY,Forestry,Miri
MYY,Oil,Oil field
MZG,Drug trafficking,
MZG,Seafood,
MZR,|DE|Afghan,
MZR,|PK|Afghan,
MZR,|TR|Afghan,
MZR,Drug trafficking,
MZT,Agriculture,
MZT,Drug trafficking,
MZT,Seafood,
NAG,|SG|Marathi,
NAN,Gold,
NAN,Surfing,
NAP,|BR|Italian,
NAP,|US|Italian,
NAP,Agribusiness,
NAS,High finance,
NAT,Offshore Oil,
NBE,|FR|Tunisian x2,
NBO,|KE|Gujarati,
NBO,Geothermal,Olkaria geothermal power
NBO,Horticulture,
NBO,Logistics MEA,
NBO,Ranching,
NCE,|FR|Serbian,
NCE,Horticulture,
NCE,Viticulture,
NCL,Heavy industry,
NCL,Marine,
NDG,Steel,
NDJ,Ranching,
NGB,Appliances,
NGB,LNG,
NGB,Logistics APAC,
NGB,Toys,
NGO,|BR|Nikkei,
NGO,|MP|Nikkei,
NGO,|PE|Nikkei,
NGO,|US|Nikkei,
NGO,Automotive,
NGO,Electronics,
NGO,Rice,Okinawa Prefectural Agricultural Research Center.
NGO,Wind Energy,
NGS,Heavy industry,
NGS,Marine,
NIM,Uranium,
NKG,|AU|Chinese,
NKG,|CA|Chinese,
NKG,|ID|Chinese,
NKG,|TH|Chinese,
NKG,|US|Chinese,
NKG,Academia,
NKG,Appliances,
NKG,Chinese Tourism|,
NLA,Copper,Ndola Zambia
NLD,Hispanic|,
NLT,Zinc-lead,
NLU,Bureaucracy,
NLU,NA Capitols|,
NNM,Russian Vacay Destination x2|,
NNR,|US|Irish American,
NOC,|US|Irish American,
NOR,Copper,Norilsk Russia
NOU,Surfing,
NPE,Viticulture,
NPL,Dairy,
NPL,LNG,
NPL,Petrochemicals,
NQN,Oil,Neuquén AR
NQN,Oil Fracking,Vaca Muerta
NQY,Atlantic Fishing,
NQY,Surfing,Cornwall
NRT,|AR|Nikkei,
NRT,|BR|Nikkei,
NRT,|JP|Korean,
NRT,|MP|Nikkei,
NRT,|PE|Nikkei,
NRT,|US|Nikkei,
NRT,Bureaucracy,
NRT,Electronics,
NRT,Semiconductors,
NRT,Software,
NSI,Forestry,
NSK,Gold,
NSK,Heavy industry,
NSK,Nickel,
NSK,Platinum,
NSN,Pacific Fishing,
NTE,Marine,
NTE,Renewable Energy,
NTG,Chinese Tourism|,
NTG,Marine,
NTG,Petrochemicals,
NTG,Textiles,
NTL,Aluminum,
NTL,Surfing,
NTY,Platinum,
NU1,Offshore Oil,oil platform
NUE,Footwear,
NUE,Toys,
NUX,LNG,
NVT,Marine,
NWI,Wind Energy,
NZH,Gold,Manzhouli (various mines) Inner Mongolia
OAK,|US|Filipino,
OAK,|US|Vietnamese,
OAK,Academia,University Berkeley
OAK,Geothermal,
OAK,Hispanic|,
OAK,Marine,
OAK,SoCal NoCal,
OAK,Viticulture,
OAX,|US|Guerrero & Oaxaca,
OBO,Forestry,
ODS,Mediterranean Black Sea,
OGG,PIF|,
OGG,Surfing,
OGZ,Defense RU,
OIT,Geothermal,
OKA,Defense,
OKA,Healthcare,
OKC,|US|Durango & Zacatecas,
OKC,Academia,
OKC,Oil,
OKJ,Aluminum,
OLP,Copper,Olympic Dam
OMA,Agribusiness,
OMA,Grain Belt,
OMA,Logistics NAC,
OMA,Ranching,
OMA,Telco,
OME,Gold,
OMS,Oil Refining,
OMS,Petrochemicals,
ONT,|US|Filipino,
ONT,Hispanic|,
ONT,Logistics NAC,
ONT,Mediterranean Ag,
OOL,Surfing,
OPO,Viticulture,
ORB,|SE|Iraqi,
ORD,|US|Chinese,
ORD,|US|Indian,
ORD,|US|Jalisco & Michoacán,
ORD,|US|Jewish,
ORD,|US|Polish,
ORD,Agribusiness,
ORD,Banking,
ORD,CPG & Retail,
ORD,Telco,
ORF,Defense,
ORF,Logistics NAC,
ORF,Loves DR x2|,
ORF,Marine,
ORF,Wind Energy,
ORH,|US|Irish American,
ORH,Software,
ORK,|US|Irish American,
ORK,Apple,
ORK,Atlantic Fishing,
ORK,Wind Energy,
ORN,|CA|Algerian,
ORN,|FR|Algerian x2,
ORN,Mediterranean Black Sea,
ORY,|FR|Algerian x2,
ORY,|FR|Armenian,
ORY,|FR|Moroccan,
ORY,|FR|Polish,
ORY,|FR|Serbian,
ORY,|FR|Tunisian x2,
ORY,Academia,
ORY,Aerospace,
ORY,Banking,
ORY,Textiles,
OSL,|NO|Somali,
OSL,Atlantic Fishing,
OSL,Marine,
OSL,Nordic Ski 2 City x2,
OSL,Renewable Energy,
OSL,Software,
OST,Atlantic Fishing,
OST,Wind Energy,
OTH,Forestry,North Bend/Coos Bay
OTP,|IT|Romanian,
OTP,Automotive,
OTP,Petrochemicals,
OUL,Forestry,Oulu
OVB,Software,
PAB,Aluminum,
PAE,Academia,
PAE,CPG & Retail,
PAP,|CA|Haitian,
PAP,|CL|Haitian,
PAP,Textiles,
PBC,Automotive,
PBI,|CU|Cuban x2,
PBI,|US|Brazilian,
PBI,|US|Colombian,
PBI,|US|Jewish,
PBI,Golf,
PBM,|NL|Surinamese,
PBU,Drug trafficking,
PDG,Spices / Tropical Ag,
PDT,Paper & Furniture,
PDV,Appliances,
PDV,Heavy industry,Plovdiv
PDX,Footwear,
PDX,Software,
PEK,|AU|Chinese,
PEK,|CA|Chinese,
PEK,|ID|Chinese,
PEK,|TH|Chinese,
PEK,|US|Chinese,
PEK,Academia,Tsinghua University
PEK,Aerospace,
PEK,Bureaucracy,
PEK,Chinese Tourism|,
PEN,|MY|Malayali,
PEN,|MY|Tamil,
PEN,Electronics,
PER,|AU|Chinese,
PER,|AU|Indian,
PER,Gold,Perth
PER,LNG,
PER,Logistics APAC,
PER,Surfing,
PER,Uranium,Perth
PES,Paper & Furniture,
PEW,|PK|Afghan,
PEW,Drug trafficking,
PEW,Pashto|,
PFO,EU|,
PFO,Greek|,
PHC,Offshore Oil,
PHF,Aerospace,
PHL,|US|Irish American,
PHL,|US|Italian,
PHL,|US|Jewish,
PHL,|US|Korean,
PHL,|US|Stateside Puerto Ricans,
PHL,Academia,Penn State University
PHL,Life sciences,
PHL,US Finance,
PHO,Copper,Phoenix USA
PHX,|US|Guerrero & Oaxaca,
PHX,|US|Jalisco & Michoacán,
PHX,Copper,
PHX,Semiconductors,
PIA,Healthcare,
PIA,Heavy industry,Caterpillar Inc
PIT,Academia,
PIT,Industrial automation,
PIT,Life sciences,
PIT,Loves DR x2|,
PIT,Software,
PIT,Steel,
PKC,Arctic Fishing,
PKC,Gold,Petropavlovsk-Kamchatsky (Kamchatka) Russia
PKU,Oil,
PKU,Petrochemicals,
PKV,Defense RU,
PKX,|AU|Chinese,
PKX,|CA|Chinese,
PKX,|ID|Chinese,
PKX,|TH|Chinese,
PKX,|TH|Chinese,
PKX,|US|Chinese,
PKX,Banking,
PKX,Chinese Tourism|,
PLM,Coffee,
PLO,Pacific Fishing,
PLU,Drug trafficking,
PLZ,Automotive,
PLZ,Surfing,Jeffrey’s Bay
PMC,Pacific Fishing,
PMG,Drug trafficking,
PMI,Loves Mallorca x2|,
PMI,Mediterranean Ag,
PMO,|AU|Italian,
PMO,|BR|Italian,
PMO,|US|Italian,
PMO,Agribusiness,
PMO,Mediterranean Black Sea,
PMR,Dairy,
PMW,Gemstones,
PNH,Spices / Tropical Ag,
PNH,Textiles,
PNQ,|SG|Marathi,
PNQ,Automotive,
PNQ,Heavy industry,
PNQ,Sugar,
PNS,Cotton,Pensacola USA
PNS,Defense,
PNS,Paper & Furniture,Pensacola
POA,Agribusiness,
POA,Footwear,
POA,Nordic / Lutheran|,
POP,Loves DR x2|,
POS,Forestry,
POS,Oil Refining,
POS,Tea,
POZ,Logistics EU Med,
PPB,Sugar,
PPP,Spices / Tropical Ag,
PPP,Sugar,
PQI,Francophonie|,
PRC,Golf,
PRG,Automotive,
PRG,Healthcare,
PRN,Mediterranean Ag,
PSA,|IT|Romanian,
PSA,Viticulture,
PSG,Seafood,
PSP,Golf,
PSP,Renewable Energy,
PSR,Mediterranean Black Sea,
PTF,Surfing,
PTG,Diamonds,
PTU,Platinum,
PTY,Banking,
PTY,Global Logistics,
PTY,Logistics NAC,
PUB,Aerospace,
PUB,Hispanic|,
PUJ,Drug trafficking,
PUJ,Loves DR x2|,
PUQ,Viticulture,Magallanes wine region
PUS,|JP|Korean,
PUS,|US|Korean,
PUS,Aluminum,
PUS,Electronics,
PUS,Marine,
PUS,Seafood,
PUS,Wind Energy,
PUW,Academia,
PVD,|US|Brazilian,
PVD,Academia,Brown University
PVD,Lusophone|,
PVD,Pharma,
PVD,Toys,
PVG,|AU|Chinese,
PVG,|CA|Chinese,
PVG,|ID|Chinese,
PVG,|TH|Chinese,
PVG,|US|Chinese,
PVG,Chinese Tourism|,
PVG,Electronics,
PVG,Global Logistics,
PVG,High finance,
PVG,Industrial automation,
PVH,Amazonia,
PVH,Amazonia,
PVR,Surfing,
PWM,Atlantic Fishing,ME
PXH,Copper,Mount Eba
PXM,Surfing,
PXU,Coffee,
PZU,Gold,
PZU,Logistics MEA,
PZU,Oil Refining,
QRO,Aerospace,
QRO,Appliances,Mabe
QRW,Oil,Warri
QSZ,Sunni|,
RAI,Lusophone|,
RAK,|FR|Moroccan,
RAK,|NL|Moroccan,
RAO,Footwear,Franca
RAP,Casinos,
RBA,|FR|Moroccan,
RBA,|NL|Moroccan,
RBA,Mediterranean Ag,
RCB,Aluminum,
RDM,Forestry,
RDP,Shia|,
RDU,Academia,
RDU,Life sciences,
RDU,Loves DR x2|,
RDU,Telco,
REC,Logistics LATAM,
REC,Marine,
REC,Petrochemicals,
REC,Sugar,
REN,Aluminum,
RES,Agribusiness,
REX,Offshore Oil,
RGN,Drug trafficking,
RGN,Rice,
RGN,Textiles,
RHI,Maple Syrup,
RIC,Petrochemicals,
RIC,US Finance,
RIX,Paper & Furniture,Riga
RJ1,Aerospace,Chōfu
RJK,Mediterranean Black Sea,
RKT,|AE|Malayali,
RKV,Geothermal,
